namespace,tdwgutility_organizedInClass,term_localName,datatype
schema:,Address,addressCountry,string
schema:,Address,addressLocality,string
schema:,Address,addressRegion,string
ltc:,Address,addressType,string
ltc:,Address,hasIdentifier,array<ltc:Identifier>
schema:,Address,postalCode,string
schema:,Address,postOfficeBoxNumber,string
schema:,Address,streetAddress,string
dwc:,ChronometricAge,chronometricAgeProtocol,string
dwc:,ChronometricAge,chronometricAgeRemarks,string
dwc:,ChronometricAge,chronometricAgeUncertaintyInYears,number
dwc:,ChronometricAge,earliestChronometricAge,number
dwc:,ChronometricAge,earliestChronometricAgeReferenceSystem,string
ltc:,ChronometricAge,hasIdentifier,array<ltc:Identifier>
ltc:,ChronometricAge,hasMeasurementOrFact,array<ltc:MeasurementOrFact>
ltc:,ChronometricAge,hasReference,array<ltc:Reference>
dwc:,ChronometricAge,latestChronometricAge,number
dwc:,ChronometricAge,latestChronometricAgeReferenceSystem,string
dwc:,ChronometricAge,verbatimChronometricAge,string
ltc:,CollectionStatusHistory,hasIdentifier,array<ltc:Identifier>
ltc:,CollectionStatusHistory,hasMeasurementOrFact,array<ltc:MeasurementOrFact>
ltc:,CollectionStatusHistory,hasReference,array<ltc:Reference>
ltc:,CollectionStatusHistory,hasTemporalCoverage,array<ltc:TemporalCoverage>
ltc:,CollectionStatusHistory,status,string
ltc:,CollectionStatusHistory,statusChangeReason,string
ltc:,CollectionStatusHistory,statusType,string
ltc:,ContactDetail,contactDetailCategory,string
ltc:,ContactDetail,contactDetailFunction,list
ltc:,ContactDetail,contactDetailValue,string
ltc:,ContactDetail,hasIdentifier,array<ltc:Identifier>
ltc:,EcologicalContext,biogeographicRealm,string
ltc:,EcologicalContext,biome,string
ltc:,EcologicalContext,biomeType,string
ltc:,EcologicalContext,bioregion,string
ltc:,EcologicalContext,ecoregion,string
ltc:,EcologicalContext,ecosystem,string
dwc:,EcologicalContext,habitat,string
ltc:,EcologicalContext,hasIdentifier,array<ltc:Identifier>
ltc:,EcologicalContext,hasMeasurementOrFact,array<ltc:MeasurementOrFact>
ltc:,EcologicalContext,hasReference,array<ltc:Reference>
ltc:,Event,eventName,string
ltc:,Event,hasEcologicalContext,array<ltc:EcologicalContext>
ltc:,Event,hasGeographicContext,array<ltc:GeographicContext>
ltc:,Event,hasIdentifier,array<ltc:Identifier>
ltc:,Event,hasMeasurementOrFact,array<ltc:MeasurementOrFact>
ltc:,Event,hasParentEvent,array<ltc:Event>
ltc:,Event,hasPersonRole,array<ltc:PersonRole>
ltc:,Event,hasReference,array<ltc:Reference>
ltc:,Event,hasTemporalCoverage,array<ltc:TemporalCoverage>
dwc:,Event,samplingProtocol,list
dwc:,Event,verbatimEventDate,string
dwc:,GeographicContext,continent,string
dwc:,GeographicContext,country,string
dwc:,GeographicContext,countryCode,string
dwc:,GeographicContext,county,string
ltc:,GeographicContext,hasIdentifier,array<ltc:Identifier>
ltc:,GeographicContext,hasMeasurementOrFact,array<ltc:MeasurementOrFact>
ltc:,GeographicContext,hasReference,array<ltc:Reference>
dwc:,GeographicContext,island,string
dwc:,GeographicContext,islandGroup,string
dwc:,GeographicContext,locality,string
dwc:,GeographicContext,municipality,string
ltc:,GeographicContext,region,string
dwc:,GeographicContext,stateProvince,string
dwc:,GeographicContext,waterBody,string
ltc:,GeographicContext,waterBodyType,string
dwc:,GeologicalContext,bed,string
dwc:,GeologicalContext,earliestAgeOrLowestStage,string
dwc:,GeologicalContext,earliestEonOrLowestEonothem,string
dwc:,GeologicalContext,earliestEpochOrLowestSeries,string
dwc:,GeologicalContext,earliestEraOrLowestErathem,string
dwc:,GeologicalContext,earliestPeriodOrLowestSystem,string
dwc:,GeologicalContext,formation,string
dwc:,GeologicalContext,group,string
ltc:,GeologicalContext,hasIdentifier,array<ltc:Identifier>
ltc:,GeologicalContext,hasMeasurementOrFact,array<ltc:MeasurementOrFact>
ltc:,GeologicalContext,hasReference,array<ltc:Reference>
dwc:,GeologicalContext,latestAgeOrHighestStage,string
dwc:,GeologicalContext,latestEonOrHighestEonothem,string
dwc:,GeologicalContext,latestEpochOrHighestSeries,string
dwc:,GeologicalContext,latestEraOrHighestErathem,string
dwc:,GeologicalContext,latestPeriodOrHighestSystem,string
dwc:,GeologicalContext,member,string
ltc:,GeologicalContext,supergroup,string
ltc:,Identifier,hasReference,array<ltc:Reference>
ltc:,Identifier,identifierSource,string
ltc:,Identifier,identifierType,string
ltc:,Identifier,identifierValue,string
ltc:,LatimerCoreScheme,basisOfScheme,string
ltc:,LatimerCoreScheme,hasIdentifier,array<ltc:Identifier>
ltc:,LatimerCoreScheme,hasObjectGroup,array<ltc:ObjectGroup>
ltc:,LatimerCoreScheme,hasReference,array<ltc:Reference>
ltc:,LatimerCoreScheme,hasSchemeMeasurementOrFact,array<ltc:SchemeMeasurementOrFact>
ltc:,LatimerCoreScheme,hasSchemeTerm,array<ltc:SchemeTerm>
ltc:,LatimerCoreScheme,isDistinctObjects,boolean
ltc:,LatimerCoreScheme,schemeName,string
ltc:,MeasurementOrFact,hasIdentifier,array<ltc:Identifier>
ltc:,MeasurementOrFact,hasReference,array<ltc:Reference>
dwc:,MeasurementOrFact,measurementAccuracy,string
ltc:,MeasurementOrFact,measurementDerivation,string
ltc:,MeasurementOrFact,measurementFactText,string
dwc:,MeasurementOrFact,measurementMethod,string
dwc:,MeasurementOrFact,measurementRemarks,string
dwc:,MeasurementOrFact,measurementType,string
dwc:,MeasurementOrFact,measurementUnit,string
dwc:,MeasurementOrFact,measurementValue,number
ltc:,ObjectClassification,hasIdentifier,array<ltc:Identifier>
ltc:,ObjectClassification,hasMeasurementOrFact,array<ltc:MeasurementOrFact>
ltc:,ObjectClassification,hasParentObjectClassification,array<ltc:ObjectClassification>
ltc:,ObjectClassification,hasReference,array<ltc:Reference>
ltc:,ObjectClassification,isTopParent,boolean
ltc:,ObjectClassification,objectClassificationLevel,string
ltc:,ObjectClassification,objectClassificationName,string
ltc:,ObjectGroup,alternativeCollectionName,list
ltc:,ObjectGroup,baseTypeOfObjectGroup,list
ltc:,ObjectGroup,collectionManagementSystem,list
ltc:,ObjectGroup,collectionName,string
ltc:,ObjectGroup,conditionsOfAccess,list
dwc:,ObjectGroup,degreeOfEstablishment,list
ltc:,ObjectGroup,description,string
ltc:,ObjectGroup,discipline,list
ltc:,ObjectGroup,hasChronometricAge,array<ltc:ChronometricAge>
ltc:,ObjectGroup,hasCollectionStatusHistory,array<ltc:CollectionStatusHistory>
ltc:,ObjectGroup,hasEcologicalContext,array<ltc:EcologicalContext>
ltc:,ObjectGroup,hasEvent,array<ltc:Event>
ltc:,ObjectGroup,hasGeographicContext,array<ltc:GeographicContext>
ltc:,ObjectGroup,hasGeologicalContext,array<ltc:GeologicalContext>
ltc:,ObjectGroup,hasIdentifier,array<ltc:Identifier>
ltc:,ObjectGroup,hasMeasurementOrFact,array<ltc:MeasurementOrFact>
ltc:,ObjectGroup,hasObjectClassification,array<ltc:ObjectClassification>
ltc:,ObjectGroup,hasOrganisationalUnit,array<ltc:OrganisationalUnit>
ltc:,ObjectGroup,hasPersonRole,array<ltc:PersonRole>
ltc:,ObjectGroup,hasReference,array<ltc:Reference>
ltc:,ObjectGroup,hasResourceRelationship,array<ltc:ResourceRelationship>
ltc:,ObjectGroup,hasStorageLocation,array<ltc:StorageLocation>
ltc:,ObjectGroup,hasTaxon,array<ltc:Taxon>
ltc:,ObjectGroup,isCurrentCollection,boolean
ltc:,ObjectGroup,isKnownToContainTypes,boolean
ltc:,ObjectGroup,material,list
ltc:,ObjectGroup,objectType,list
ltc:,ObjectGroup,period,list
ltc:,ObjectGroup,preparationType,list
ltc:,ObjectGroup,preservationMethod,list
ltc:,ObjectGroup,preservationMode,list
ltc:,ObjectGroup,typeOfObjectGroup,list
ltc:,OrganisationalUnit,hasAddress,array<ltc:Address>
ltc:,OrganisationalUnit,hasContactDetail,array<ltc:ContactDetail>
ltc:,OrganisationalUnit,hasIdentifier,array<ltc:Identifier>
ltc:,OrganisationalUnit,hasMeasurementOrFact,array<ltc:MeasurementOrFact>
ltc:,OrganisationalUnit,hasParentOrganisationalUnit,array<ltc:OrganisationalUnit>
ltc:,OrganisationalUnit,hasPersonRole,array<ltc:PersonRole>
ltc:,OrganisationalUnit,hasReference,array<ltc:Reference>
ltc:,OrganisationalUnit,organisationalUnitName,string
ltc:,OrganisationalUnit,organisationalUnitType,string
schema:,Person,additionalName,string
schema:,Person,familyName,string
abcd:,Person,fullName,string
schema:,Person,givenName,string
ltc:,Person,hasAddress,array<ltc:Address>
ltc:,Person,hasContactDetail,array<ltc:ContactDetail>
ltc:,Person,hasIdentifier,array<ltc:Identifier>
ltc:,Person,hasMeasurementOrFact,array<ltc:MeasurementOrFact>
ltc:,Person,hasReference,array<ltc:Reference>
ltc:,PersonRole,hasAddress,array<ltc:Address>
ltc:,PersonRole,hasContactDetail,array<ltc:ContactDetail>
ltc:,PersonRole,hasIdentifier,array<ltc:Identifier>
ltc:,PersonRole,hasMeasurementOrFact,array<ltc:MeasurementOrFact>
ltc:,PersonRole,hasPerson,array<ltc:Person>
ltc:,PersonRole,hasReference,array<ltc:Reference>
ltc:,PersonRole,hasRole,array<ltc:Role>
ltc:,PersonRole,hasTemporalCoverage,array<ltc:TemporalCoverage>
ltc:,RecordLevel,hasIdentifier,array<ltc:Identifier>
ltc:,RecordLevel,hasObjectGroup,array<ltc:ObjectGroup>
ltc:,RecordLevel,hasPersonRole,array<ltc:PersonRole>
ltc:,RecordLevel,hasReference,array<ltc:Reference>
ltc:,RecordLevel,hasResourceRelationship,array<ltc:ResourceRelationship>
ltc:,RecordLevel,isDerivedCollection,boolean
dc:,RecordLevel,license,string
dc:,RecordLevel,rights,string
dc:,RecordLevel,rightsHolder,string
ltc:,Reference,hasIdentifier,array<ltc:Identifier>
ltc:,Reference,referenceDetails,string
ltc:,Reference,referenceName,string
ltc:,Reference,referenceType,string
abcd:,Reference,resourceURI,string
ltc:,ResourceRelationship,hasIdentifier,array<ltc:Identifier>
ltc:,ResourceRelationship,hasMeasurementOrFact,array<ltc:MeasurementOrFact>
ltc:,ResourceRelationship,hasReference,array<ltc:Reference>
dwc:,ResourceRelationship,relatedResourceID,string
ltc:,ResourceRelationship,relatedResourceName,string
ltc:,ResourceRelationship,relatedResourceType,string
dwc:,ResourceRelationship,relationshipAccordingTo,list
dwc:,ResourceRelationship,relationshipEstablishedDate,string
dwc:,ResourceRelationship,relationshipOfResource,string
dwc:,ResourceRelationship,relationshipRemarks,string
dwc:,ResourceRelationship,resourceID,string
ltc:,Role,hasIdentifier,array<ltc:Identifier>
ltc:,Role,roleName,string
ltc:,SchemeMeasurementOrFact,hasIdentifier,array<ltc:Identifier>
ltc:,SchemeMeasurementOrFact,hasReference,array<ltc:Reference>
ltc:,SchemeMeasurementOrFact,isMandatoryMetric,boolean
ltc:,SchemeMeasurementOrFact,isRepeatableMetric,boolean
ltc:,SchemeMeasurementOrFact,schemeMeasurementType,string
ltc:,SchemeTerm,hasIdentifier,array<ltc:Identifier>
ltc:,SchemeTerm,hasReference,array<ltc:Reference>
ltc:,SchemeTerm,isMandatoryTerm,boolean
ltc:,SchemeTerm,isRepeatableTerm,boolean
ltc:,SchemeTerm,termName,string
ltc:,StorageLocation,hasAddress,array<ltc:Address>
ltc:,StorageLocation,hasIdentifier,array<ltc:Identifier>
ltc:,StorageLocation,hasMeasurementOrFact,array<ltc:MeasurementOrFact>
ltc:,StorageLocation,hasParentStorageLocation,array<ltc:StorageLocation>
ltc:,StorageLocation,hasReference,array<ltc:Reference>
ltc:,StorageLocation,locationDescription,string
ltc:,StorageLocation,locationName,string
ltc:,StorageLocation,locationType,string
dwc:,Taxon,genus,string
ltc:,Taxon,hasIdentifier,array<ltc:Identifier>
ltc:,Taxon,hasMeasurementOrFact,array<ltc:MeasurementOrFact>
ltc:,Taxon,hasReference,array<ltc:Reference>
dwc:,Taxon,kingdom,string
dwc:,Taxon,scientificName,string
dwc:,Taxon,taxonRank,string
ltc:,TemporalCoverage,hasMeasurementOrFact,array<ltc:MeasurementOrFact>
ltc:,TemporalCoverage,hasReference,array<ltc:Reference>
ltc:,TemporalCoverage,temporalCoverageEndDateTime,string
ltc:,TemporalCoverage,temporalCoverageStartDateTime,string
ltc:,TemporalCoverage,temporalCoverageType,string